Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
zu, 1079, 8, 1061, 5, 5, 0
in, 740, 549, 184, 1, 6, 0
nach, 263, 2, 259, 1, 1, 0
auf, 251, 175, 74, 1, 1, 0
von, 225, 2, 221, 2, 0, 0
durch, 207, 199, 4, 2, 1, 1
an, 158, 120, 37, 0, 1, 0
aus, 126, 4, 121, 1, 0, 0
über, 79, 72, 5, 2, 0, 0
vor, 28, 9, 18, 1, 0, 0
um, 23, 17, 4, 2, 0, 0
unter, 17, 4, 13, 0, 0, 0
hinter, 16, 7, 9, 0, 0, 0
zwischen, 14, 0, 14, 0, 0, 0
gegen, 3, 3, 0, 0, 0, 0
gen, 3, 0, 3, 0, 0, 0
außerhalb, 1, 0, 0, 1, 0, 0
entgegen, 1, 1, 0, 0, 0, 0
entlang, 1, 0, 1, 0, 0, 0
