Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 21082, 12805, 8061, 42, 135, 39
zu, 13037, 104, 12811, 26, 83, 13
auf, 9405, 3784, 5524, 38, 34, 25
nach, 6992, 83, 6860, 10, 22, 17
durch, 4734, 4590, 70, 9, 54, 11
an, 3778, 1523, 2230, 4, 16, 5
über, 3522, 3284, 193, 9, 30, 6
von, 2639, 39, 2573, 5, 17, 5
aus, 1322, 41, 1240, 2, 33, 6
vor, 862, 331, 517, 6, 8, 0
gegen, 706, 688, 11, 2, 5, 0
unter, 643, 101, 535, 4, 3, 0
um, 471, 449, 12, 3, 4, 3
bis, 368, 200, 127, 3, 33, 5
zwischen, 284, 27, 250, 1, 5, 1
hinter, 229, 23, 202, 1, 3, 0
entlang, 193, 8, 125, 53, 0, 7
gen, 167, 89, 77, 0, 1, 0
innerhalb, 51, 1, 10, 36, 1, 3
außerhalb, 37, 2, 8, 26, 1, 0
entgegen, 32, 1, 30, 1, 0, 0
gegenüber, 30, 2, 27, 0, 1, 0
abseits, 29, 0, 10, 19, 0, 0
unterhalb, 12, 0, 5, 6, 1, 0
via, 12, 3, 9, 0, 0, 0
inmitten, 10, 0, 1, 9, 0, 0
oberhalb, 5, 0, 4, 1, 0, 0
jenseits, 4, 0, 0, 3, 0, 1
wider, 4, 3, 1, 0, 0, 0
unweit, 2, 0, 1, 0, 1, 0
fern, 1, 0, 1, 0, 0, 0
fernab, 1, 0, 0, 1, 0, 0
südlich, 1, 0, 1, 0, 0, 0
