Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 687, 525, 161, 0, 1, 0
auf, 110, 58, 50, 1, 1, 0
durch, 108, 107, 1, 0, 0, 0
über, 73, 44, 29, 0, 0, 0
an, 70, 8, 62, 0, 0, 0
von, 59, 1, 57, 0, 1, 0
zu, 45, 1, 44, 0, 0, 0
aus, 37, 0, 36, 0, 0, 1
vor, 31, 2, 29, 0, 0, 0
um, 24, 22, 2, 0, 0, 0
zwischen, 14, 0, 14, 0, 0, 0
nach, 10, 1, 9, 0, 0, 0
hinter, 7, 0, 7, 0, 0, 0
unter, 6, 1, 5, 0, 0, 0
gen, 3, 3, 0, 0, 0, 0
bis, 2, 1, 1, 0, 0, 0
gegen, 2, 1, 0, 1, 0, 0
gegenüber, 1, 0, 1, 0, 0, 0
unterhalb, 1, 0, 0, 1, 0, 0
