Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 5743, 3495, 2154, 10, 44, 40
durch, 1978, 1964, 7, 3, 3, 1
zu, 1786, 11, 1756, 5, 13, 1
auf, 1597, 1125, 449, 3, 14, 6
über, 1487, 1249, 221, 4, 11, 2
nach, 938, 16, 912, 2, 3, 5
aus, 924, 13, 906, 2, 3, 0
von, 898, 5, 881, 2, 5, 5
an, 616, 167, 444, 0, 3, 2
um, 561, 555, 5, 0, 0, 1
gegen, 227, 218, 5, 1, 3, 0
vor, 137, 25, 112, 0, 0, 0
unter, 123, 6, 115, 1, 1, 0
zwischen, 60, 7, 52, 1, 0, 0
hinter, 36, 10, 25, 1, 0, 0
gen, 33, 18, 14, 0, 0, 1
entlang, 24, 1, 16, 7, 0, 0
bis, 15, 8, 5, 1, 1, 0
innerhalb, 14, 0, 2, 11, 0, 1
unterhalb, 7, 0, 5, 2, 0, 0
außerhalb, 6, 0, 4, 2, 0, 0
oberhalb, 6, 0, 4, 2, 0, 0
entgegen, 3, 1, 2, 0, 0, 0
jenseits, 3, 0, 0, 3, 0, 0
abseits, 2, 0, 2, 0, 0, 0
via, 2, 1, 1, 0, 0, 0
wider, 2, 1, 1, 0, 0, 0
gegenüber, 1, 0, 1, 0, 0, 0
inmitten, 1, 0, 0, 1, 0, 0
