Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 2223, 1678, 512, 4, 28, 1
aus, 1615, 9, 1597, 6, 2, 1
vor, 1515, 27, 1467, 13, 6, 2
auf, 291, 195, 94, 1, 0, 1
nach, 276, 0, 276, 0, 0, 0
von, 253, 1, 247, 3, 1, 1
zu, 250, 4, 246, 0, 0, 0
über, 226, 210, 14, 0, 2, 0
durch, 196, 194, 1, 0, 1, 0
an, 73, 46, 24, 1, 2, 0
unter, 50, 4, 45, 0, 1, 0
gen, 16, 2, 14, 0, 0, 0
hinter, 7, 2, 5, 0, 0, 0
gegen, 6, 6, 0, 0, 0, 0
um, 6, 6, 0, 0, 0, 0
innerhalb, 5, 0, 0, 5, 0, 0
außerhalb, 3, 0, 0, 3, 0, 0
bis, 3, 1, 2, 0, 0, 0
entlang, 3, 0, 1, 2, 0, 0
zwischen, 2, 1, 1, 0, 0, 0
entgegen, 1, 0, 1, 0, 0, 0
jenseits, 1, 0, 0, 1, 0, 0
unterhalb, 1, 0, 0, 1, 0, 0
