Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 9383, 6697, 2527, 46, 108, 5
durch, 1550, 1495, 29, 4, 20, 2
aus, 1168, 20, 1134, 4, 9, 1
an, 1061, 694, 342, 5, 19, 1
auf, 596, 328, 254, 0, 7, 7
zu, 579, 10, 562, 1, 4, 2
von, 564, 10, 537, 4, 9, 4
über, 556, 501, 40, 1, 8, 6
nach, 326, 2, 323, 0, 1, 0
unter, 105, 8, 96, 0, 1, 0
zwischen, 80, 4, 74, 0, 2, 0
vor, 49, 3, 45, 0, 1, 0
um, 37, 35, 2, 0, 0, 0
entlang, 23, 1, 11, 10, 1, 0
bis, 22, 14, 6, 0, 1, 1
hinter, 19, 0, 17, 0, 1, 1
innerhalb, 16, 0, 2, 14, 0, 0
gegen, 14, 12, 2, 0, 0, 0
entgegen, 13, 3, 7, 2, 1, 0
unterhalb, 11, 0, 4, 7, 0, 0
außerhalb, 10, 1, 2, 7, 0, 0
gen, 4, 0, 4, 0, 0, 0
via, 3, 2, 1, 0, 0, 0
jenseits, 2, 0, 0, 2, 0, 0
gegenüber, 1, 0, 1, 0, 0, 0
inmitten, 1, 0, 1, 0, 0, 0
oberhalb, 1, 0, 1, 0, 0, 0
unweit, 1, 0, 1, 0, 0, 0
