Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
durch, 130, 129, 0, 0, 1, 0
über, 105, 102, 3, 0, 0, 0
in, 80, 35, 44, 1, 0, 0
auf, 52, 15, 36, 0, 1, 0
zu, 25, 0, 25, 0, 0, 0
aus, 17, 0, 17, 0, 0, 0
um, 17, 17, 0, 0, 0, 0
an, 15, 4, 11, 0, 0, 0
von, 11, 0, 11, 0, 0, 0
nach, 10, 0, 10, 0, 0, 0
zwischen, 9, 0, 9, 0, 0, 0
unter, 3, 1, 2, 0, 0, 0
entlang, 2, 0, 1, 1, 0, 0
vor, 2, 1, 1, 0, 0, 0
bis, 1, 0, 1, 0, 0, 0
gegen, 1, 1, 0, 0, 0, 0
gen, 1, 0, 1, 0, 0, 0
hinter, 1, 0, 1, 0, 0, 0
