Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 122659, 66196, 55498, 252, 613, 100
um, 85747, 81175, 2669, 312, 1344, 247
auf, 53976, 43861, 9183, 158, 618, 156
zu, 45392, 404, 44669, 97, 196, 26
an, 27891, 16810, 10420, 98, 543, 20
von, 21616, 394, 20749, 128, 246, 99
nach, 17907, 272, 17423, 58, 129, 25
durch, 14978, 14463, 225, 50, 174, 66
über, 14762, 13738, 741, 72, 182, 29
aus, 12787, 170, 12447, 72, 95, 3
vor, 3936, 1029, 2859, 9, 38, 1
unter, 3582, 1267, 2229, 12, 62, 12
gegen, 2885, 2682, 104, 16, 72, 11
hinter, 680, 170, 502, 2, 5, 1
zwischen, 486, 30, 445, 1, 6, 4
bis, 316, 139, 129, 6, 21, 21
entlang, 275, 13, 158, 91, 7, 6
innerhalb, 233, 3, 61, 163, 0, 6
entgegen, 156, 5, 133, 13, 5, 0
gegenüber, 119, 10, 102, 5, 2, 0
außerhalb, 100, 6, 13, 81, 0, 0
gen, 87, 27, 59, 0, 0, 1
jenseits, 83, 5, 23, 53, 0, 2
unterhalb, 39, 0, 20, 18, 1, 0
abseits, 34, 0, 22, 12, 0, 0
via, 32, 15, 16, 0, 0, 1
wider, 28, 21, 6, 1, 0, 0
inmitten, 25, 1, 14, 9, 1, 0
oberhalb, 19, 0, 11, 7, 0, 1
unweit, 14, 0, 6, 8, 0, 0
ans, 4, 3, 1, 0, 0, 0
fern, 4, 0, 2, 1, 1, 0
diesseits, 2, 0, 1, 1, 0, 0
überm, 2, 0, 2, 0, 0, 0
zum, 1, 0, 1, 0, 0, 0
übern, 1, 0, 1, 0, 0, 0
übers, 1, 1, 0, 0, 0, 0
