Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 954, 711, 231, 3, 8, 1
über, 660, 627, 23, 2, 8, 0
durch, 433, 428, 2, 0, 3, 0
auf, 330, 158, 166, 1, 4, 1
zu, 228, 1, 227, 0, 0, 0
an, 156, 13, 140, 2, 1, 0
von, 148, 2, 142, 3, 1, 0
aus, 105, 1, 100, 0, 2, 2
unter, 40, 18, 21, 1, 0, 0
nach, 28, 2, 26, 0, 0, 0
vor, 20, 0, 20, 0, 0, 0
hinter, 10, 4, 6, 0, 0, 0
zwischen, 8, 1, 7, 0, 0, 0
entlang, 7, 0, 4, 3, 0, 0
um, 6, 5, 0, 0, 1, 0
gen, 3, 0, 3, 0, 0, 0
gegen, 2, 2, 0, 0, 0, 0
jenseits, 2, 0, 1, 1, 0, 0
gegenüber, 1, 0, 1, 0, 0, 0
innerhalb, 1, 0, 0, 1, 0, 0
unterhalb, 1, 0, 1, 0, 0, 0
unweit, 1, 0, 1, 0, 0, 0
