Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
gegen, 343, 322, 5, 5, 11, 0
durch, 285, 274, 6, 2, 2, 1
in, 283, 98, 181, 2, 2, 0
auf, 278, 229, 40, 3, 6, 0
von, 206, 0, 205, 0, 1, 0
zu, 171, 1, 170, 0, 0, 0
über, 70, 68, 1, 1, 0, 0
aus, 25, 0, 25, 0, 0, 0
nach, 23, 0, 22, 0, 1, 0
an, 17, 5, 12, 0, 0, 0
vor, 17, 2, 14, 0, 1, 0
um, 16, 16, 0, 0, 0, 0
unter, 11, 0, 11, 0, 0, 0
hinter, 8, 0, 8, 0, 0, 0
zwischen, 4, 0, 4, 0, 0, 0
entgegen, 3, 0, 2, 1, 0, 0
entlang, 1, 0, 0, 1, 0, 0
inmitten, 1, 0, 0, 1, 0, 0
innerhalb, 1, 0, 0, 1, 0, 0
