Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
auf, 2927, 2326, 388, 13, 47, 153
in, 1095, 608, 482, 1, 2, 2
über, 606, 564, 30, 1, 3, 8
an, 346, 60, 282, 0, 3, 1
aus, 301, 1, 298, 1, 1, 0
durch, 200, 194, 4, 1, 1, 0
von, 176, 1, 166, 1, 1, 7
zu, 136, 0, 135, 0, 1, 0
nach, 96, 4, 91, 0, 1, 0
um, 77, 61, 2, 1, 4, 9
unter, 37, 11, 26, 0, 0, 0
vor, 23, 1, 22, 0, 0, 0
hinter, 15, 8, 7, 0, 0, 0
gegenüber, 10, 0, 10, 0, 0, 0
zwischen, 8, 0, 8, 0, 0, 0
gegen, 6, 6, 0, 0, 0, 0
bis, 4, 2, 0, 1, 0, 1
entgegen, 2, 0, 2, 0, 0, 0
abseits, 1, 0, 0, 1, 0, 0
außerhalb, 1, 0, 0, 1, 0, 0
entlang, 1, 0, 1, 0, 0, 0
gen, 1, 0, 1, 0, 0, 0
innerhalb, 1, 0, 0, 1, 0, 0
