Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 615, 452, 159, 2, 2, 0
aus, 248, 3, 243, 0, 2, 0
durch, 246, 241, 3, 0, 2, 0
auf, 172, 64, 108, 0, 0, 0
unter, 158, 112, 45, 0, 1, 0
über, 116, 112, 2, 1, 1, 0
zu, 89, 0, 89, 0, 0, 0
an, 83, 23, 60, 0, 0, 0
vor, 48, 0, 48, 0, 0, 0
von, 18, 0, 18, 0, 0, 0
nach, 17, 1, 16, 0, 0, 0
hinter, 16, 7, 9, 0, 0, 0
zwischen, 13, 3, 8, 0, 2, 0
um, 11, 10, 1, 0, 0, 0
innerhalb, 2, 0, 0, 2, 0, 0
unterhalb, 2, 0, 1, 1, 0, 0
gegen, 1, 1, 0, 0, 0, 0
gegenüber, 1, 0, 1, 0, 0, 0
inmitten, 1, 0, 0, 1, 0, 0
