Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 18654, 5247, 13190, 68, 97, 52
auf, 10287, 4107, 6030, 42, 76, 32
über, 5200, 4915, 201, 18, 53, 13
zu, 4750, 46, 4658, 18, 24, 4
durch, 4354, 4242, 62, 12, 35, 3
an, 2518, 275, 2214, 11, 14, 4
nach, 2427, 33, 2368, 5, 14, 7
aus, 1650, 13, 1624, 1, 10, 2
von, 1464, 15, 1435, 4, 7, 3
unter, 1353, 64, 1258, 5, 17, 9
vor, 1008, 260, 734, 5, 8, 1
gegen, 920, 856, 27, 7, 28, 2
um, 605, 587, 9, 4, 3, 2
hinter, 280, 51, 224, 1, 4, 0
zwischen, 279, 18, 255, 1, 4, 1
bis, 104, 56, 39, 1, 4, 4
entlang, 73, 2, 47, 20, 1, 3
innerhalb, 55, 1, 8, 45, 0, 1
außerhalb, 54, 1, 14, 39, 0, 0
entgegen, 28, 1, 21, 4, 1, 1
gen, 17, 4, 10, 0, 1, 2
jenseits, 16, 0, 3, 13, 0, 0
unterhalb, 15, 0, 6, 8, 0, 1
oberhalb, 13, 1, 3, 9, 0, 0
gegenüber, 10, 0, 9, 1, 0, 0
abseits, 8, 0, 6, 2, 0, 0
via, 8, 2, 6, 0, 0, 0
wider, 8, 5, 2, 1, 0, 0
inmitten, 6, 0, 4, 2, 0, 0
fern, 2, 0, 2, 0, 0, 0
übers, 2, 0, 2, 0, 0, 0
diesseits, 1, 0, 0, 0, 1, 0
unweit, 1, 0, 0, 1, 0, 0
übern, 1, 0, 1, 0, 0, 0
