Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 1242, 696, 535, 4, 6, 1
durch, 631, 610, 8, 3, 10, 0
zu, 537, 3, 530, 2, 2, 0
auf, 389, 194, 190, 0, 5, 0
an, 229, 23, 202, 0, 3, 1
nach, 184, 2, 182, 0, 0, 0
über, 169, 163, 5, 0, 1, 0
von, 117, 1, 111, 0, 3, 2
unter, 100, 2, 93, 1, 3, 1
gegen, 93, 87, 5, 0, 1, 0
vor, 63, 17, 46, 0, 0, 0
aus, 58, 1, 57, 0, 0, 0
hinter, 33, 3, 28, 2, 0, 0
um, 28, 25, 1, 0, 2, 0
bis, 9, 4, 5, 0, 0, 0
zwischen, 9, 1, 8, 0, 0, 0
gen, 7, 5, 2, 0, 0, 0
entlang, 4, 0, 1, 3, 0, 0
außerhalb, 1, 0, 0, 1, 0, 0
gegenüber, 1, 0, 0, 1, 0, 0
inmitten, 1, 0, 0, 1, 0, 0
wider, 1, 1, 0, 0, 0, 0
