Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
auf, 211, 23, 183, 1, 2, 2
durch, 209, 202, 4, 0, 3, 0
zu, 200, 1, 198, 0, 1, 0
in, 199, 116, 78, 0, 5, 0
nach, 108, 5, 102, 0, 0, 1
an, 102, 14, 88, 0, 0, 0
über, 79, 72, 5, 0, 2, 0
von, 51, 1, 49, 0, 1, 0
entlang, 43, 1, 27, 15, 0, 0
um, 24, 24, 0, 0, 0, 0
unter, 16, 1, 15, 0, 0, 0
aus, 9, 0, 9, 0, 0, 0
bis, 8, 4, 3, 0, 1, 0
zwischen, 7, 0, 7, 0, 0, 0
vor, 5, 2, 3, 0, 0, 0
gegen, 4, 4, 0, 0, 0, 0
abseits, 3, 0, 0, 3, 0, 0
gen, 3, 1, 2, 0, 0, 0
außerhalb, 1, 0, 0, 1, 0, 0
entgegen, 1, 0, 1, 0, 0, 0
hinter, 1, 0, 1, 0, 0, 0
oberhalb, 1, 0, 0, 1, 0, 0
unterhalb, 1, 0, 1, 0, 0, 0
wider, 1, 1, 0, 0, 0, 0
