Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 681, 411, 256, 4, 8, 2
durch, 461, 451, 6, 1, 2, 1
auf, 294, 124, 168, 2, 0, 0
über, 238, 232, 3, 0, 3, 0
zu, 146, 0, 142, 0, 3, 1
an, 81, 8, 73, 0, 0, 0
gegen, 56, 55, 0, 0, 1, 0
um, 39, 36, 2, 0, 1, 0
nach, 34, 0, 33, 1, 0, 0
von, 31, 0, 30, 0, 1, 0
aus, 22, 0, 21, 0, 0, 1
vor, 19, 2, 16, 0, 1, 0
unter, 13, 2, 9, 0, 2, 0
hinter, 8, 0, 8, 0, 0, 0
zwischen, 7, 1, 6, 0, 0, 0
entlang, 4, 1, 1, 2, 0, 0
entgegen, 2, 0, 0, 2, 0, 0
jenseits, 2, 0, 0, 2, 0, 0
gen, 1, 0, 1, 0, 0, 0
inmitten, 1, 0, 0, 1, 0, 0
innerhalb, 1, 0, 0, 1, 0, 0
wider, 1, 0, 1, 0, 0, 0
