Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 4522, 3188, 1240, 26, 64, 4
zu, 1626, 15, 1586, 8, 17, 0
durch, 1288, 1253, 10, 6, 18, 1
nach, 847, 3, 842, 0, 1, 1
auf, 649, 283, 362, 2, 1, 1
aus, 383, 7, 367, 3, 3, 3
an, 365, 229, 126, 0, 9, 1
von, 351, 5, 343, 0, 3, 0
um, 342, 333, 2, 3, 4, 0
über, 216, 202, 11, 0, 2, 1
unter, 88, 7, 78, 0, 2, 1
vor, 37, 2, 35, 0, 0, 0
zwischen, 35, 0, 35, 0, 0, 0
gen, 24, 5, 19, 0, 0, 0
entlang, 20, 1, 12, 6, 1, 0
innerhalb, 13, 0, 3, 10, 0, 0
gegen, 10, 10, 0, 0, 0, 0
hinter, 6, 4, 2, 0, 0, 0
via, 6, 0, 4, 1, 0, 1
bis, 5, 0, 4, 0, 1, 0
entgegen, 4, 1, 2, 1, 0, 0
abseits, 3, 0, 1, 1, 1, 0
jenseits, 3, 0, 0, 3, 0, 0
außerhalb, 2, 0, 0, 2, 0, 0
inmitten, 2, 0, 1, 1, 0, 0
oberhalb, 1, 0, 1, 0, 0, 0
wider, 1, 0, 1, 0, 0, 0
