Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
auf, 948, 174, 764, 5, 2, 3
in, 551, 256, 294, 0, 1, 0
durch, 294, 288, 5, 0, 1, 0
zu, 235, 0, 232, 0, 3, 0
an, 117, 22, 95, 0, 0, 0
über, 107, 100, 7, 0, 0, 0
nach, 77, 1, 74, 0, 2, 0
von, 57, 0, 57, 0, 0, 0
gegen, 33, 32, 0, 0, 1, 0
vor, 23, 5, 16, 0, 2, 0
aus, 21, 1, 20, 0, 0, 0
um, 21, 17, 2, 2, 0, 0
unter, 17, 0, 17, 0, 0, 0
entlang, 8, 0, 4, 4, 0, 0
gen, 7, 2, 5, 0, 0, 0
zwischen, 7, 1, 6, 0, 0, 0
hinter, 6, 1, 5, 0, 0, 0
entgegen, 2, 1, 1, 0, 0, 0
wider, 2, 0, 1, 0, 1, 0
abseits, 1, 0, 0, 1, 0, 0
außerhalb, 1, 0, 1, 0, 0, 0
bis, 1, 0, 0, 0, 1, 0
gegenüber, 1, 0, 1, 0, 0, 0
jenseits, 1, 0, 0, 1, 0, 0
