Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 1471, 1008, 453, 2, 4, 4
zu, 1135, 3, 1123, 2, 6, 1
durch, 664, 651, 9, 1, 3, 0
auf, 641, 488, 148, 1, 3, 1
über, 325, 313, 11, 0, 1, 0
aus, 292, 3, 288, 0, 1, 0
um, 218, 215, 2, 1, 0, 0
gegen, 174, 171, 3, 0, 0, 0
an, 143, 45, 97, 0, 1, 0
nach, 139, 2, 135, 1, 1, 0
von, 139, 3, 134, 1, 0, 1
vor, 82, 25, 57, 0, 0, 0
hinter, 60, 6, 52, 2, 0, 0
zwischen, 23, 0, 22, 0, 1, 0
unter, 21, 3, 18, 0, 0, 0
entgegen, 3, 0, 3, 0, 0, 0
außerhalb, 2, 0, 1, 1, 0, 0
bis, 2, 2, 0, 0, 0, 0
entlang, 1, 1, 0, 0, 0, 0
jenseits, 1, 0, 0, 1, 0, 0
übern, 1, 0, 1, 0, 0, 0
