Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 1292, 716, 556, 3, 10, 7
auf, 1009, 497, 498, 3, 10, 1
über, 718, 684, 24, 1, 8, 1
zu, 524, 4, 518, 0, 2, 0
durch, 462, 442, 11, 5, 4, 0
von, 326, 4, 322, 0, 0, 0
an, 228, 73, 154, 0, 1, 0
aus, 219, 3, 212, 0, 2, 2
nach, 154, 5, 146, 1, 2, 0
vor, 81, 36, 43, 1, 1, 0
unter, 67, 29, 38, 0, 0, 0
um, 46, 42, 3, 0, 1, 0
gegen, 35, 34, 1, 0, 0, 0
hinter, 29, 8, 21, 0, 0, 0
zwischen, 22, 2, 20, 0, 0, 0
gen, 15, 5, 9, 0, 1, 0
entlang, 10, 1, 2, 7, 0, 0
bis, 7, 4, 3, 0, 0, 0
entgegen, 2, 0, 1, 1, 0, 0
jenseits, 2, 0, 1, 1, 0, 0
abseits, 1, 0, 1, 0, 0, 0
außerhalb, 1, 0, 0, 1, 0, 0
inmitten, 1, 0, 1, 0, 0, 0
innerhalb, 1, 0, 0, 1, 0, 0
unterhalb, 1, 0, 0, 1, 0, 0
