Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 1807, 1392, 401, 3, 9, 2
auf, 959, 442, 497, 3, 5, 12
von, 346, 7, 336, 1, 1, 1
durch, 220, 214, 2, 1, 2, 1
unter, 196, 145, 45, 0, 2, 4
über, 178, 169, 8, 0, 1, 0
aus, 168, 3, 165, 0, 0, 0
an, 149, 60, 89, 0, 0, 0
zu, 106, 2, 104, 0, 0, 0
nach, 94, 3, 91, 0, 0, 0
um, 49, 41, 0, 2, 3, 3
gegen, 37, 36, 0, 1, 0, 0
vor, 34, 8, 26, 0, 0, 0
zwischen, 23, 11, 12, 0, 0, 0
hinter, 11, 9, 2, 0, 0, 0
entlang, 3, 0, 1, 1, 0, 1
bis, 2, 2, 0, 0, 0, 0
gegenüber, 2, 0, 2, 0, 0, 0
innerhalb, 2, 0, 0, 2, 0, 0
abseits, 1, 0, 1, 0, 0, 0
außerhalb, 1, 0, 1, 0, 0, 0
gen, 1, 1, 0, 0, 0, 0
inmitten, 1, 0, 1, 0, 0, 0
oberhalb, 1, 0, 1, 0, 0, 0
