Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 867, 673, 184, 1, 9, 0
durch, 331, 325, 5, 0, 1, 0
an, 176, 87, 87, 0, 2, 0
aus, 155, 2, 153, 0, 0, 0
auf, 150, 94, 54, 2, 0, 0
zu, 134, 1, 131, 1, 0, 1
um, 99, 97, 2, 0, 0, 0
über, 63, 61, 1, 0, 1, 0
von, 38, 0, 38, 0, 0, 0
nach, 25, 0, 25, 0, 0, 0
unter, 24, 11, 13, 0, 0, 0
hinter, 18, 12, 5, 0, 1, 0
zwischen, 10, 2, 8, 0, 0, 0
vor, 8, 4, 4, 0, 0, 0
entlang, 2, 0, 2, 0, 0, 0
gen, 2, 2, 0, 0, 0, 0
gegen, 1, 1, 0, 0, 0, 0
via, 1, 1, 0, 0, 0, 0
