Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
durch, 596, 573, 17, 2, 4, 0
über, 208, 198, 5, 2, 2, 1
in, 177, 86, 84, 4, 3, 0
zu, 138, 2, 135, 0, 1, 0
an, 106, 6, 98, 2, 0, 0
auf, 65, 21, 44, 0, 0, 0
von, 40, 0, 40, 0, 0, 0
nach, 27, 1, 26, 0, 0, 0
zwischen, 21, 1, 20, 0, 0, 0
um, 12, 12, 0, 0, 0, 0
unter, 9, 0, 9, 0, 0, 0
aus, 7, 0, 7, 0, 0, 0
entlang, 6, 1, 4, 1, 0, 0
hinter, 3, 0, 3, 0, 0, 0
unterhalb, 3, 0, 2, 1, 0, 0
abseits, 2, 0, 1, 1, 0, 0
gegen, 2, 2, 0, 0, 0, 0
gen, 2, 0, 2, 0, 0, 0
vor, 2, 0, 2, 0, 0, 0
