Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 584, 182, 397, 1, 4, 0
zu, 496, 2, 491, 1, 2, 0
durch, 456, 441, 10, 1, 4, 0
auf, 332, 163, 166, 3, 0, 0
über, 231, 210, 13, 4, 4, 0
an, 118, 27, 91, 0, 0, 0
von, 75, 0, 75, 0, 0, 0
nach, 73, 2, 69, 0, 2, 0
gegen, 47, 40, 3, 1, 3, 0
aus, 42, 0, 42, 0, 0, 0
unter, 37, 3, 34, 0, 0, 0
vor, 26, 5, 21, 0, 0, 0
hinter, 11, 0, 9, 1, 1, 0
um, 10, 10, 0, 0, 0, 0
zwischen, 9, 0, 9, 0, 0, 0
inmitten, 5, 0, 1, 4, 0, 0
innerhalb, 5, 0, 1, 4, 0, 0
entlang, 2, 0, 1, 1, 0, 0
gen, 2, 0, 2, 0, 0, 0
außerhalb, 1, 0, 0, 1, 0, 0
entgegen, 1, 0, 1, 0, 0, 0
