Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
zwischen, 632, 50, 523, 6, 17, 36
in, 397, 30, 363, 1, 2, 1
nach, 208, 0, 204, 0, 1, 3
von, 91, 2, 87, 0, 0, 2
um, 73, 61, 3, 0, 3, 6
auf, 68, 22, 46, 0, 0, 0
zu, 52, 1, 51, 0, 0, 0
an, 33, 1, 30, 1, 1, 0
durch, 33, 32, 1, 0, 0, 0
über, 18, 15, 3, 0, 0, 0
vor, 17, 0, 17, 0, 0, 0
unter, 16, 0, 16, 0, 0, 0
aus, 14, 0, 14, 0, 0, 0
innerhalb, 13, 2, 1, 10, 0, 0
bis, 6, 1, 4, 0, 0, 1
gegenüber, 6, 0, 5, 0, 1, 0
gegen, 3, 3, 0, 0, 0, 0
entlang, 2, 0, 2, 0, 0, 0
hinter, 2, 0, 2, 0, 0, 0
unterhalb, 1, 0, 1, 0, 0, 0
