Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 2339, 475, 1844, 5, 5, 10
über, 1173, 286, 866, 14, 6, 1
durch, 462, 455, 4, 2, 1, 0
auf, 274, 77, 190, 3, 2, 2
an, 190, 19, 170, 0, 1, 0
vor, 134, 12, 118, 2, 2, 0
zu, 128, 2, 126, 0, 0, 0
zwischen, 127, 3, 120, 2, 2, 0
von, 78, 1, 75, 0, 2, 0
aus, 63, 0, 63, 0, 0, 0
unter, 60, 3, 57, 0, 0, 0
um, 49, 47, 2, 0, 0, 0
nach, 47, 2, 42, 1, 2, 0
hinter, 14, 1, 12, 1, 0, 0
inmitten, 9, 1, 5, 3, 0, 0
gen, 8, 7, 1, 0, 0, 0
innerhalb, 7, 0, 1, 4, 0, 2
gegen, 4, 3, 1, 0, 0, 0
außerhalb, 3, 0, 0, 3, 0, 0
bis, 3, 2, 0, 1, 0, 0
oberhalb, 3, 0, 2, 1, 0, 0
entlang, 1, 0, 1, 0, 0, 0
fern, 1, 0, 0, 1, 0, 0
jenseits, 1, 0, 0, 1, 0, 0
unterhalb, 1, 0, 0, 1, 0, 0
