Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 1823, 203, 1599, 11, 9, 1
auf, 628, 85, 535, 4, 4, 0
gegen, 398, 397, 0, 0, 1, 0
an, 317, 103, 214, 0, 0, 0
durch, 208, 205, 2, 0, 1, 0
zu, 156, 2, 153, 1, 0, 0
über, 51, 40, 11, 0, 0, 0
unter, 49, 7, 42, 0, 0, 0
vor, 45, 9, 36, 0, 0, 0
nach, 44, 0, 44, 0, 0, 0
von, 43, 1, 42, 0, 0, 0
zwischen, 35, 1, 34, 0, 0, 0
aus, 29, 1, 26, 0, 2, 0
um, 24, 24, 0, 0, 0, 0
hinter, 10, 3, 5, 2, 0, 0
innerhalb, 5, 0, 1, 4, 0, 0
unterhalb, 5, 0, 2, 3, 0, 0
entgegen, 4, 0, 3, 1, 0, 0
inmitten, 3, 1, 0, 2, 0, 0
oberhalb, 2, 0, 0, 2, 0, 0
außerhalb, 1, 0, 0, 1, 0, 0
bis, 1, 1, 0, 0, 0, 0
gen, 1, 0, 1, 0, 0, 0
wider, 1, 1, 0, 0, 0, 0
