Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 408, 170, 227, 3, 7, 1
auf, 206, 65, 138, 1, 0, 2
durch, 183, 183, 0, 0, 0, 0
über, 143, 130, 12, 0, 1, 0
zu, 116, 3, 113, 0, 0, 0
unter, 115, 3, 110, 1, 1, 0
nach, 94, 0, 93, 1, 0, 0
an, 89, 16, 73, 0, 0, 0
um, 70, 70, 0, 0, 0, 0
von, 60, 0, 60, 0, 0, 0
aus, 21, 0, 21, 0, 0, 0
vor, 20, 3, 17, 0, 0, 0
gen, 14, 3, 11, 0, 0, 0
gegen, 9, 8, 0, 0, 1, 0
zwischen, 9, 0, 9, 0, 0, 0
entlang, 6, 0, 5, 1, 0, 0
hinter, 4, 3, 1, 0, 0, 0
bis, 3, 1, 1, 0, 1, 0
oberhalb, 3, 0, 2, 0, 1, 0
außerhalb, 2, 0, 1, 1, 0, 0
entgegen, 2, 0, 1, 1, 0, 0
innerhalb, 1, 0, 0, 1, 0, 0
unweit, 1, 0, 1, 0, 0, 0
via, 1, 0, 1, 0, 0, 0
