Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
auf, 4189, 3116, 548, 6, 101, 418
in, 3951, 1243, 2682, 6, 14, 6
um, 1016, 772, 78, 2, 52, 112
zu, 873, 3, 866, 2, 2, 0
durch, 720, 680, 12, 8, 17, 3
unter, 659, 462, 174, 2, 7, 14
nach, 607, 3, 593, 3, 4, 4
von, 383, 16, 306, 1, 9, 51
an, 324, 43, 275, 2, 3, 1
vor, 174, 5, 168, 0, 1, 0
aus, 97, 0, 96, 0, 1, 0
gegenüber, 65, 1, 61, 0, 1, 2
über, 55, 39, 14, 1, 0, 1
gegen, 21, 20, 1, 0, 0, 0
hinter, 21, 10, 11, 0, 0, 0
innerhalb, 21, 1, 4, 16, 0, 0
bis, 18, 7, 7, 0, 0, 4
entgegen, 13, 0, 12, 0, 1, 0
zwischen, 11, 2, 9, 0, 0, 0
unterhalb, 6, 1, 3, 2, 0, 0
außerhalb, 4, 0, 1, 3, 0, 0
entlang, 2, 0, 2, 0, 0, 0
oberhalb, 1, 0, 1, 0, 0, 0
