Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 795, 169, 621, 0, 4, 1
durch, 622, 594, 21, 2, 4, 1
an, 281, 14, 266, 0, 1, 0
auf, 278, 62, 212, 0, 4, 0
über, 147, 136, 11, 0, 0, 0
zu, 127, 0, 127, 0, 0, 0
von, 50, 0, 49, 1, 0, 0
nach, 34, 1, 33, 0, 0, 0
unter, 33, 0, 32, 0, 1, 0
um, 22, 22, 0, 0, 0, 0
aus, 19, 0, 18, 0, 0, 1
entlang, 19, 2, 6, 11, 0, 0
vor, 19, 2, 17, 0, 0, 0
zwischen, 11, 0, 11, 0, 0, 0
hinter, 4, 0, 4, 0, 0, 0
außerhalb, 2, 0, 2, 0, 0, 0
gegen, 2, 2, 0, 0, 0, 0
oberhalb, 2, 0, 1, 1, 0, 0
unterhalb, 2, 0, 1, 0, 0, 1
abseits, 1, 0, 1, 0, 0, 0
bis, 1, 0, 1, 0, 0, 0
innerhalb, 1, 0, 1, 0, 0, 0
jenseits, 1, 0, 0, 1, 0, 0
unweit, 1, 0, 1, 0, 0, 0
