Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 4548, 3570, 944, 8, 20, 6
auf, 1900, 1542, 313, 11, 19, 15
aus, 1619, 22, 1587, 1, 3, 6
von, 1518, 8, 1502, 2, 5, 1
über, 1508, 1437, 56, 1, 14, 0
zu, 807, 7, 797, 1, 1, 1
an, 417, 207, 208, 0, 2, 0
durch, 399, 386, 7, 2, 4, 0
nach, 162, 3, 157, 0, 1, 1
vor, 152, 51, 97, 1, 3, 0
zwischen, 131, 5, 124, 0, 2, 0
hinter, 78, 30, 48, 0, 0, 0
gegen, 60, 56, 2, 1, 1, 0
unter, 57, 21, 36, 0, 0, 0
um, 46, 31, 6, 3, 2, 4
innerhalb, 9, 1, 1, 7, 0, 0
entgegen, 6, 1, 5, 0, 0, 0
gegenüber, 4, 0, 4, 0, 0, 0
bis, 3, 2, 1, 0, 0, 0
wider, 3, 3, 0, 0, 0, 0
entlang, 2, 0, 1, 1, 0, 0
inmitten, 2, 1, 0, 1, 0, 0
unterhalb, 2, 0, 2, 0, 0, 0
fern, 1, 0, 0, 1, 0, 0
gen, 1, 1, 0, 0, 0, 0
jenseits, 1, 0, 1, 0, 0, 0
