Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
durch, 232, 223, 6, 1, 2, 0
in, 116, 56, 59, 0, 1, 0
zu, 55, 0, 55, 0, 0, 0
über, 49, 49, 0, 0, 0, 0
auf, 36, 21, 13, 0, 2, 0
an, 14, 4, 10, 0, 0, 0
nach, 12, 1, 11, 0, 0, 0
von, 12, 0, 12, 0, 0, 0
hinter, 6, 0, 6, 0, 0, 0
unter, 5, 0, 5, 0, 0, 0
aus, 4, 0, 4, 0, 0, 0
vor, 4, 2, 2, 0, 0, 0
zwischen, 2, 0, 2, 0, 0, 0
bis, 1, 1, 0, 0, 0, 0
gegen, 1, 1, 0, 0, 0, 0
gen, 1, 0, 1, 0, 0, 0
oberhalb, 1, 0, 0, 1, 0, 0
um, 1, 1, 0, 0, 0, 0
unterhalb, 1, 0, 1, 0, 0, 0
