Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 16002, 7772, 8080, 38, 89, 23
auf, 12765, 9135, 1961, 25, 316, 1328
aus, 2777, 30, 2730, 10, 5, 2
zu, 2544, 20, 2493, 13, 17, 1
um, 2083, 1436, 207, 4, 93, 343
von, 1846, 36, 1663, 3, 27, 117
nach, 1844, 30, 1783, 7, 18, 6
an, 1728, 452, 1249, 7, 19, 1
durch, 1715, 1604, 40, 10, 58, 3
über, 1022, 843, 143, 5, 10, 21
unter, 356, 35, 306, 1, 12, 2
vor, 302, 8, 287, 5, 2, 0
gegenüber, 187, 6, 181, 0, 0, 0
gegen, 113, 107, 2, 0, 4, 0
hinter, 88, 10, 76, 1, 1, 0
entgegen, 59, 3, 48, 7, 1, 0
zwischen, 59, 3, 54, 1, 0, 1
innerhalb, 56, 2, 17, 36, 0, 1
bis, 54, 24, 17, 1, 4, 8
gen, 47, 36, 8, 0, 3, 0
außerhalb, 15, 1, 5, 9, 0, 0
entlang, 15, 0, 8, 5, 0, 2
oberhalb, 10, 0, 4, 6, 0, 0
unterhalb, 7, 0, 4, 3, 0, 0
jenseits, 5, 0, 2, 3, 0, 0
via, 4, 1, 3, 0, 0, 0
inmitten, 2, 0, 2, 0, 0, 0
unweit, 2, 0, 1, 1, 0, 0
abseits, 1, 0, 0, 1, 0, 0
