Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
über, 1076, 1023, 29, 7, 16, 1
in, 484, 251, 228, 1, 4, 0
durch, 188, 181, 2, 0, 5, 0
auf, 151, 60, 91, 0, 0, 0
von, 115, 0, 115, 0, 0, 0
zu, 51, 0, 51, 0, 0, 0
an, 41, 9, 32, 0, 0, 0
aus, 41, 2, 39, 0, 0, 0
nach, 27, 0, 26, 1, 0, 0
vor, 19, 3, 15, 0, 1, 0
gegen, 10, 9, 0, 0, 1, 0
unter, 9, 2, 7, 0, 0, 0
zwischen, 8, 1, 7, 0, 0, 0
um, 4, 4, 0, 0, 0, 0
hinter, 2, 0, 2, 0, 0, 0
wider, 2, 0, 2, 0, 0, 0
bis, 1, 0, 1, 0, 0, 0
fernab, 1, 0, 1, 0, 0, 0
