Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
aus, 2061, 13, 2035, 7, 5, 1
in, 1779, 140, 1621, 4, 11, 3
von, 1004, 3, 992, 0, 8, 1
auf, 879, 624, 238, 3, 12, 2
durch, 776, 758, 11, 1, 6, 0
über, 772, 738, 19, 4, 9, 2
an, 295, 43, 250, 1, 1, 0
zu, 206, 4, 200, 1, 1, 0
nach, 184, 3, 180, 1, 0, 0
um, 100, 96, 3, 1, 0, 0
unter, 55, 6, 48, 0, 1, 0
vor, 48, 1, 46, 0, 1, 0
gegen, 29, 28, 1, 0, 0, 0
hinter, 23, 19, 4, 0, 0, 0
entgegen, 12, 0, 10, 2, 0, 0
zwischen, 11, 2, 9, 0, 0, 0
bis, 6, 4, 2, 0, 0, 0
entlang, 5, 0, 4, 1, 0, 0
gegenüber, 4, 0, 4, 0, 0, 0
innerhalb, 4, 0, 2, 2, 0, 0
unterhalb, 4, 0, 1, 3, 0, 0
außerhalb, 3, 1, 1, 1, 0, 0
gen, 1, 0, 1, 0, 0, 0
jenseits, 1, 0, 1, 0, 0, 0
via, 1, 1, 0, 0, 0, 0
wider, 1, 1, 0, 0, 0, 0
