Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
durch, 854, 832, 16, 2, 4, 0
in, 315, 28, 281, 1, 3, 2
über, 175, 167, 6, 2, 0, 0
an, 174, 18, 155, 1, 0, 0
von, 137, 0, 137, 0, 0, 0
auf, 82, 19, 63, 0, 0, 0
zu, 33, 1, 32, 0, 0, 0
nach, 29, 1, 28, 0, 0, 0
aus, 22, 0, 22, 0, 0, 0
vor, 15, 1, 13, 0, 1, 0
um, 14, 12, 1, 0, 0, 1
zwischen, 8, 0, 8, 0, 0, 0
unter, 6, 0, 6, 0, 0, 0
hinter, 3, 2, 1, 0, 0, 0
gegenüber, 2, 1, 1, 0, 0, 0
abseits, 1, 0, 0, 1, 0, 0
entlang, 1, 0, 1, 0, 0, 0
gegen, 1, 1, 0, 0, 0, 0
gen, 1, 0, 1, 0, 0, 0
innerhalb, 1, 0, 0, 1, 0, 0
unweit, 1, 0, 1, 0, 0, 0
