Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 1940, 1430, 468, 10, 31, 1
aus, 547, 6, 526, 5, 7, 3
durch, 464, 444, 11, 2, 7, 0
zu, 417, 4, 406, 1, 5, 1
auf, 329, 278, 46, 1, 3, 1
von, 164, 2, 161, 0, 1, 0
an, 137, 67, 66, 1, 2, 1
über, 134, 121, 6, 4, 3, 0
nach, 100, 0, 99, 0, 0, 1
unter, 21, 2, 19, 0, 0, 0
vor, 15, 6, 9, 0, 0, 0
um, 13, 12, 1, 0, 0, 0
zwischen, 12, 1, 10, 0, 1, 0
gegen, 6, 5, 0, 0, 1, 0
entlang, 5, 1, 2, 2, 0, 0
hinter, 5, 1, 4, 0, 0, 0
gen, 4, 1, 3, 0, 0, 0
entgegen, 1, 0, 1, 0, 0, 0
innerhalb, 1, 0, 0, 1, 0, 0
oberhalb, 1, 0, 0, 1, 0, 0
