Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 1022, 642, 368, 4, 5, 3
auf, 516, 406, 107, 1, 1, 1
aus, 228, 3, 225, 0, 0, 0
von, 176, 0, 170, 0, 6, 0
zu, 172, 0, 170, 0, 2, 0
an, 144, 67, 76, 0, 1, 0
durch, 137, 134, 0, 1, 2, 0
nach, 113, 2, 110, 1, 0, 0
über, 57, 51, 4, 0, 2, 0
vor, 36, 10, 23, 1, 2, 0
gegen, 34, 32, 1, 1, 0, 0
unter, 29, 2, 24, 0, 2, 1
um, 12, 11, 1, 0, 0, 0
hinter, 8, 2, 6, 0, 0, 0
entgegen, 5, 2, 3, 0, 0, 0
wider, 4, 2, 2, 0, 0, 0
bis, 3, 1, 2, 0, 0, 0
gen, 3, 2, 1, 0, 0, 0
zwischen, 2, 0, 2, 0, 0, 0
abseits, 1, 0, 1, 0, 0, 0
entlang, 1, 0, 0, 1, 0, 0
innerhalb, 1, 0, 0, 1, 0, 0
