Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 10555, 4159, 6233, 43, 110, 10
auf, 1010, 189, 781, 7, 32, 1
aus, 678, 4, 669, 0, 4, 1
an, 648, 35, 607, 1, 4, 1
nach, 405, 7, 395, 2, 1, 0
vor, 391, 18, 356, 1, 16, 0
zu, 309, 5, 297, 2, 5, 0
unter, 244, 50, 189, 3, 1, 1
von, 151, 1, 144, 0, 5, 1
durch, 130, 127, 1, 0, 2, 0
hinter, 109, 6, 101, 0, 2, 0
über, 70, 38, 30, 0, 1, 1
zwischen, 61, 5, 56, 0, 0, 0
um, 17, 17, 0, 0, 0, 0
inmitten, 14, 1, 9, 4, 0, 0
entlang, 13, 4, 4, 5, 0, 0
gegen, 13, 13, 0, 0, 0, 0
innerhalb, 12, 0, 4, 8, 0, 0
außerhalb, 7, 0, 3, 4, 0, 0
bis, 6, 3, 1, 0, 1, 1
jenseits, 6, 0, 2, 4, 0, 0
unterhalb, 3, 0, 0, 3, 0, 0
abseits, 2, 0, 1, 1, 0, 0
entgegen, 2, 1, 1, 0, 0, 0
gegenüber, 2, 0, 2, 0, 0, 0
beidseits, 1, 0, 0, 1, 0, 0
oberhalb, 1, 0, 0, 1, 0, 0
wider, 1, 0, 1, 0, 0, 0
