Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 11280, 7949, 3230, 26, 63, 12
auf, 3059, 2137, 876, 11, 14, 21
von, 1797, 22, 1752, 6, 17, 0
zu, 1777, 25, 1740, 7, 4, 1
durch, 1573, 1512, 25, 9, 24, 3
an, 1123, 779, 338, 1, 5, 0
aus, 889, 20, 865, 4, 0, 0
nach, 461, 9, 447, 2, 3, 0
über, 390, 368, 17, 1, 1, 3
unter, 227, 51, 169, 2, 4, 1
vor, 223, 71, 148, 1, 3, 0
um, 117, 94, 16, 6, 1, 0
gegen, 90, 90, 0, 0, 0, 0
zwischen, 70, 17, 52, 0, 1, 0
hinter, 27, 7, 19, 0, 1, 0
gen, 22, 8, 14, 0, 0, 0
innerhalb, 14, 0, 2, 12, 0, 0
außerhalb, 13, 0, 1, 12, 0, 0
wider, 13, 8, 4, 0, 1, 0
bis, 12, 7, 4, 0, 1, 0
entlang, 9, 0, 7, 2, 0, 0
entgegen, 8, 0, 4, 4, 0, 0
gegenüber, 6, 2, 3, 0, 0, 1
jenseits, 5, 0, 2, 3, 0, 0
inmitten, 4, 1, 1, 2, 0, 0
unweit, 2, 0, 2, 0, 0, 0
via, 2, 2, 0, 0, 0, 0
abseits, 1, 0, 0, 1, 0, 0
beidseits, 1, 0, 1, 0, 0, 0
diesseits, 1, 0, 0, 1, 0, 0
oberhalb, 1, 0, 1, 0, 0, 0
