Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 3576, 1617, 1913, 13, 32, 1
zu, 1821, 39, 1754, 13, 15, 0
auf, 1026, 158, 852, 4, 10, 2
von, 710, 16, 682, 4, 8, 0
durch, 506, 484, 14, 3, 5, 0
nach, 226, 1, 221, 2, 2, 0
unter, 150, 2, 145, 0, 3, 0
an, 114, 12, 101, 0, 1, 0
über, 112, 101, 11, 0, 0, 0
zwischen, 67, 0, 65, 1, 1, 0
vor, 55, 3, 50, 1, 1, 0
aus, 45, 0, 45, 0, 0, 0
um, 27, 20, 1, 2, 3, 1
inmitten, 8, 0, 3, 5, 0, 0
gegen, 7, 7, 0, 0, 0, 0
gegenüber, 7, 1, 6, 0, 0, 0
innerhalb, 7, 1, 0, 6, 0, 0
entlang, 6, 0, 4, 2, 0, 0
hinter, 5, 0, 5, 0, 0, 0
abseits, 4, 0, 3, 1, 0, 0
außerhalb, 3, 1, 1, 1, 0, 0
bis, 3, 2, 1, 0, 0, 0
entgegen, 3, 0, 3, 0, 0, 0
gen, 3, 3, 0, 0, 0, 0
jenseits, 3, 0, 1, 2, 0, 0
unterhalb, 1, 0, 1, 0, 0, 0
übern, 1, 1, 0, 0, 0, 0
