Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 4429, 3190, 1187, 9, 37, 6
durch, 1686, 1637, 23, 6, 20, 0
zu, 1212, 12, 1187, 3, 9, 1
auf, 999, 448, 533, 6, 9, 3
über, 683, 634, 38, 4, 7, 0
von, 636, 2, 631, 0, 2, 1
nach, 454, 7, 445, 0, 2, 0
an, 417, 133, 278, 1, 5, 0
aus, 276, 3, 268, 2, 3, 0
um, 117, 111, 3, 0, 0, 3
zwischen, 102, 4, 96, 0, 2, 0
unter, 87, 13, 73, 1, 0, 0
entlang, 69, 1, 29, 36, 1, 2
hinter, 58, 40, 17, 0, 1, 0
vor, 43, 6, 34, 0, 2, 1
gen, 25, 9, 16, 0, 0, 0
innerhalb, 14, 0, 3, 11, 0, 0
bis, 12, 7, 5, 0, 0, 0
oberhalb, 10, 1, 3, 5, 1, 0
gegen, 5, 5, 0, 0, 0, 0
unterhalb, 3, 0, 1, 2, 0, 0
abseits, 2, 0, 2, 0, 0, 0
jenseits, 2, 0, 1, 1, 0, 0
entgegen, 1, 1, 0, 0, 0, 0
fern, 1, 0, 1, 0, 0, 0
gegenüber, 1, 0, 0, 1, 0, 0
inmitten, 1, 0, 0, 1, 0, 0
