Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
in, 34365, 24084, 9933, 89, 223, 36
aus, 14617, 200, 14290, 63, 54, 10
durch, 9965, 9648, 168, 33, 108, 8
zu, 9808, 105, 9642, 16, 34, 11
an, 7227, 1829, 5351, 16, 29, 2
auf, 6895, 4709, 2064, 23, 57, 42
von, 5375, 34, 5274, 17, 31, 19
nach, 3899, 59, 3795, 16, 22, 7
über, 3071, 2818, 196, 7, 38, 12
vor, 2550, 1054, 1467, 3, 24, 2
unter, 1480, 617, 834, 3, 22, 4
gegen, 1102, 1017, 42, 9, 32, 2
um, 933, 877, 26, 14, 10, 6
zwischen, 315, 28, 282, 0, 3, 2
hinter, 241, 97, 139, 1, 4, 0
gen, 184, 66, 115, 0, 2, 1
entlang, 153, 5, 92, 53, 2, 1
innerhalb, 78, 0, 16, 60, 1, 1
gegenüber, 70, 4, 65, 0, 1, 0
bis, 69, 28, 30, 3, 4, 4
außerhalb, 64, 3, 5, 55, 0, 1
entgegen, 35, 1, 27, 5, 2, 0
wider, 30, 26, 3, 0, 1, 0
unterhalb, 26, 1, 6, 19, 0, 0
jenseits, 18, 1, 6, 11, 0, 0
inmitten, 14, 0, 6, 8, 0, 0
oberhalb, 11, 0, 6, 5, 0, 0
unweit, 5, 0, 1, 4, 0, 0
via, 5, 1, 4, 0, 0, 0
abseits, 3, 0, 0, 3, 0, 0
fern, 3, 0, 2, 1, 0, 0
südlich, 2, 0, 1, 1, 0, 0
beiderseits, 1, 0, 0, 1, 0, 0
fernab, 1, 0, 1, 0, 0, 0
östlich, 1, 0, 0, 1, 0, 0
